lower_n,upper_n,excitation_energy,alpha,equation
18,44,1.2600,1.000000e-01,0
18,46,1.2920,1.000000e-01,0
19,20,0.1020,1.000000e-01,0
19,27,0.4630,1.000000e-01,0
19,33,0.6570,1.000000e-01,0
19,39,0.7700,1.000000e-01,0
19,43,0.8580,1.000000e-01,0
19,45,0.9020,1.000000e-01,0
19,47,0.9340,1.000000e-01,0
20,22,0.2910,1.000000e-01,0
20,24,0.4130,1.000000e-01,0
20,28,0.6010,1.000000e-01,0
20,30,0.6690,1.000000e-01,0
20,34,0.7680,1.000000e-01,0
20,36,0.8080,1.000000e-01,0
20,40,0.8670,1.000000e-01,0
20,42,0.9330,1.000000e-01,0
20,44,0.9770,1.000000e-01,0
20,46,1.0090,1.000000e-01,0
21,25,0.0520,1.000000e-01,0
21,29,0.2390,1.000000e-01,0
21,31,0.3060,1.000000e-01,0
21,35,0.4060,1.000000e-01,0
21,37,0.4470,1.000000e-01,0
21,41,0.5060,1.000000e-01,0
21,43,0.5720,1.000000e-01,0
21,45,0.6160,1.000000e-01,0
21,47,0.6480,1.000000e-01,0
22,27,0.0700,1.000000e-01,0
22,29,0.1320,1.000000e-01,0
22,33,0.2640,1.000000e-01,0
22,35,0.2990,1.000000e-01,0
22,39,0.3770,1.000000e-01,0
22,41,0.3990,1.000000e-01,0
22,43,0.4650,1.000000e-01,0
22,45,0.5090,1.000000e-01,0
22,47,0.5410,1.000000e-01,0
23,21,0.0700,1.000000e-01,0
23,26,0.4180,1.000000e-01,0
23,28,0.4870,1.000000e-01,0
23,32,0.6140,1.000000e-01,0
23,34,0.6540,1.000000e-01,0
23,38,0.7300,1.000000e-01,0
23,40,0.7530,1.000000e-01,0
23,42,0.8190,1.000000e-01,0
23,44,0.8630,1.000000e-01,0
23,46,0.8950,1.000000e-01,0
24,33,0.1420,1.000000e-01,0
24,39,0.2550,1.000000e-01,0
24,43,0.3430,1.000000e-01,0
24,45,0.3870,1.000000e-01,0
24,47,0.4190,1.000000e-01,0
25,26,0.2960,1.000000e-01,0
25,32,0.4920,1.000000e-01,0
25,38,0.6080,1.000000e-01,0
25,42,0.6970,1.000000e-01,0
25,44,0.7410,1.000000e-01,0
25,46,0.7730,1.000000e-01,0
26,35,0.0580,1.000000e-01,0
26,37,0.0990,1.000000e-01,0
26,41,0.1580,1.000000e-01,0
26,43,0.2240,1.000000e-01,0
26,45,0.2680,1.000000e-01,0
26,47,0.3000,1.000000e-01,0
27,24,0.0520,1.000000e-01,0
27,28,0.2400,1.000000e-01,0
27,30,0.3080,1.000000e-01,0
27,34,0.4070,1.000000e-01,0
27,36,0.4470,1.000000e-01,0
27,40,0.5060,1.000000e-01,0
27,42,0.5720,1.000000e-01,0
27,44,0.6160,1.000000e-01,0
27,46,0.6480,1.000000e-01,0
28,39,0.0670,1.000000e-01,0
28,41,0.0890,1.000000e-01,0
28,43,0.1550,1.000000e-01,0
28,45,0.1990,1.000000e-01,0
28,47,0.2310,1.000000e-01,0
29,26,0.1090,1.000000e-01,0
29,28,0.1780,1.000000e-01,0
29,32,0.3050,1.000000e-01,0
29,34,0.3450,1.000000e-01,0
29,38,0.4210,1.000000e-01,0
29,40,0.4440,1.000000e-01,0
29,42,0.5100,1.000000e-01,0
29,44,0.5540,1.000000e-01,0
29,46,0.5860,1.000000e-01,0
30,43,0.0870,1.000000e-01,0
30,45,0.1310,1.000000e-01,0
30,47,0.1630,1.000000e-01,0
31,26,0.0420,1.000000e-01,0
31,32,0.2380,1.000000e-01,0
31,38,0.3540,1.000000e-01,0
31,42,0.4430,1.000000e-01,0
31,44,0.4870,1.000000e-01,0
31,46,0.5190,1.000000e-01,0
32,43,0.0280,1.000000e-01,0
32,45,0.0720,1.000000e-01,0
32,47,0.1040,1.000000e-01,0
33,28,0.0460,1.000000e-01,0
33,30,0.1140,1.000000e-01,0
33,34,0.2130,1.000000e-01,0
33,36,0.2530,1.000000e-01,0
33,40,0.3120,1.000000e-01,0
33,42,0.3780,1.000000e-01,0
33,44,0.4220,1.000000e-01,0
33,46,0.4540,1.000000e-01,0
34,45,0.0320,1.000000e-01,0
34,47,0.0640,1.000000e-01,0
35,28,0.0110,1.000000e-01,0
35,32,0.1380,1.000000e-01,0
35,34,0.1780,1.000000e-01,0
35,38,0.2540,1.000000e-01,0
35,40,0.2770,1.000000e-01,0
35,42,0.3430,1.000000e-01,0
35,44,0.3870,1.000000e-01,0
35,46,0.4190,1.000000e-01,0
36,47,0.0240,1.000000e-01,0
37,32,0.0970,1.000000e-01,0
37,38,0.2130,1.000000e-01,0
37,42,0.3020,1.000000e-01,0
37,44,0.3460,1.000000e-01,0
37,46,0.3780,1.000000e-01,0
39,30,0.0010,1.000000e-01,0
39,34,0.1000,1.000000e-01,0
39,36,0.1400,1.000000e-01,0
39,40,0.1990,1.000000e-01,0
39,42,0.2650,1.000000e-01,0
39,44,0.3090,1.000000e-01,0
39,46,0.3410,1.000000e-01,0
41,32,0.0380,1.000000e-01,0
41,34,0.0780,1.000000e-01,0
41,38,0.1540,1.000000e-01,0
41,40,0.1770,1.000000e-01,0
41,42,0.2430,1.000000e-01,0
41,44,0.2870,1.000000e-01,0
41,46,0.3190,1.000000e-01,0
43,34,0.0120,1.000000e-01,0
43,36,0.0520,1.000000e-01,0
43,38,0.0880,1.000000e-01,0
43,40,0.1110,1.000000e-01,0
43,42,0.1770,1.000000e-01,0
43,44,0.2210,1.000000e-01,0
43,46,0.2530,1.000000e-01,0
45,36,0.0080,1.000000e-01,0
45,38,0.0440,1.000000e-01,0
45,40,0.0670,1.000000e-01,0
45,42,0.1330,1.000000e-01,0
45,44,0.1770,1.000000e-01,0
45,46,0.2090,1.000000e-01,0
47,38,0.0120,1.000000e-01,0
47,40,0.0350,1.000000e-01,0
47,42,0.1010,1.000000e-01,0
47,44,0.1450,1.000000e-01,0
47,46,0.1770,1.000000e-01,0
