lower_n,upper_n,excitation_energy,alpha,beta
18,39,0.9510,1.038086e-02,1.0
18,43,1.0390,1.520265e-03,1.0
19,21,0.2860,1.180772e+00,1.0
19,26,0.6340,4.362378e-02,1.0
19,32,0.8300,1.992341e-02,1.0
19,38,0.9460,1.259061e-02,1.0
19,42,1.0350,7.453183e-04,1.0
20,23,0.1140,6.549882e-03,1.0
20,25,0.2360,1.380964e+00,1.0
20,29,0.4230,7.920146e-02,1.0
20,31,0.4900,6.461010e-02,1.0
20,35,0.5900,1.706602e-03,1.0
20,37,0.6310,1.471085e-02,1.0
20,41,0.6900,1.513248e-02,1.0
20,45,0.8000,4.555224e-03,1.0
21,22,0.1070,5.880891e-03,1.0
21,24,0.2290,1.452495e+00,1.0
21,28,0.4170,9.777437e-02,1.0
21,30,0.4850,6.494276e-02,1.0
21,34,0.5840,9.455313e-04,1.0
21,36,0.6240,1.468218e-02,1.0
21,40,0.6830,2.201869e-02,1.0
21,44,0.7930,3.184888e-03,1.0
22,26,0.2410,2.920778e-03,1.0
22,32,0.4370,4.191629e-03,1.0
22,38,0.5530,3.840805e-04,1.0
23,27,0.2470,2.321382e-02,1.0
23,33,0.4410,3.748173e-03,1.0
23,39,0.5540,3.579827e-04,1.0
23,43,0.6420,2.061152e-04,1.0
24,26,0.1190,4.146285e-01,1.0
24,32,0.3150,5.209328e-02,1.0
24,38,0.4310,2.203553e-02,1.0
24,42,0.5200,2.443421e-01,1.0
25,27,0.1250,4.036165e-01,1.0
25,33,0.3190,1.493966e-01,1.0
25,39,0.4320,1.981284e-02,1.0
25,43,0.5200,6.537807e-03,1.0
26,28,0.0690,1.166586e+00,1.0
26,30,0.1370,1.435599e+00,1.0
26,34,0.2360,8.982055e-03,1.0
26,36,0.2760,9.144512e-02,1.0
26,40,0.3350,2.063836e-02,1.0
26,44,0.4450,4.402685e-01,1.0
27,29,0.0620,1.050461e+00,1.0
27,31,0.1290,1.593341e+00,1.0
27,35,0.2290,5.581816e-03,1.0
27,37,0.2700,9.252419e-02,1.0
27,41,0.3290,2.860763e-02,1.0
27,45,0.4390,7.090120e-03,1.0
28,32,0.1270,4.790579e-02,1.0
28,38,0.2430,1.028038e-02,1.0
29,33,0.1320,3.588038e-02,1.0
29,39,0.2450,9.594832e-03,1.0
29,43,0.3330,6.037973e-04,1.0
30,32,0.0590,2.436841e+00,1.0
30,38,0.1750,7.068093e-02,1.0
30,42,0.2640,9.926331e-03,1.0
31,33,0.0650,1.544488e+00,1.0
31,39,0.1780,1.295034e-02,1.0
31,43,0.2660,5.110427e-03,1.0
32,34,0.0400,1.466247e+00,1.0
32,36,0.0800,1.653789e+00,1.0
32,40,0.1390,3.220939e-02,1.0
32,44,0.2490,5.332071e-02,1.0
33,35,0.0350,1.447378e+00,1.0
33,37,0.0760,1.841155e+00,1.0
33,41,0.1350,5.090987e-02,1.0
33,45,0.2450,5.254814e-02,1.0
34,38,0.0760,5.119635e-02,1.0
35,39,0.0780,3.945361e-02,1.0
35,43,0.1660,1.179664e-02,1.0
36,38,0.0360,2.676204e+00,1.0
36,42,0.1250,5.955337e-02,1.0
37,39,0.0370,2.709052e+00,1.0
37,43,0.1250,1.620948e-02,1.0
38,40,0.0230,2.404963e+00,1.0
38,44,0.1330,3.189584e-01,1.0
39,41,0.0220,2.199383e+00,1.0
39,45,0.1320,2.965224e-01,1.0
41,43,0.0660,1.011970e-02,1.0
42,44,0.0440,6.275407e-01,1.0
43,45,0.0440,6.179821e-01,1.0
45,49,0.0560,3.669094e-01,1.0
45,51,0.0740,1.219222e-01,1.0
45,53,0.0880,5.687780e-02,1.0
45,55,0.0990,3.183108e-02,1.0
45,57,0.1080,1.994100e-02,1.0
45,59,0.1150,1.348362e-02,1.0
45,61,0.1210,9.632023e-03,1.0
45,63,0.1260,7.170665e-03,1.0
45,65,0.1300,5.512485e-03,1.0
46,48,0.0240,2.817334e+00,1.0
46,50,0.0420,3.976527e-01,1.0
46,52,0.0560,1.310995e-01,1.0
46,54,0.0670,6.079791e-02,1.0
46,56,0.0760,3.387365e-02,1.0
46,58,0.0830,2.114971e-02,1.0
46,60,0.0890,1.426526e-02,1.0
46,62,0.0940,1.017166e-02,1.0
46,64,0.0980,7.562363e-03,1.0
47,49,0.0240,2.817334e+00,1.0
47,51,0.0420,3.976527e-01,1.0
47,53,0.0560,1.310995e-01,1.0
47,55,0.0670,6.079791e-02,1.0
47,57,0.0760,3.387365e-02,1.0
47,59,0.0830,2.114971e-02,1.0
47,61,0.0890,1.426526e-02,1.0
47,63,0.0940,1.017166e-02,1.0
47,65,0.0980,7.562363e-03,1.0
48,50,0.0180,3.062465e+00,1.0
48,52,0.0320,4.283682e-01,1.0
48,54,0.0430,1.402527e-01,1.0
48,56,0.0520,6.469708e-02,1.0
48,58,0.0590,3.589794e-02,1.0
48,60,0.0650,2.234240e-02,1.0
48,62,0.0700,1.503281e-02,1.0
48,64,0.0740,1.069887e-02,1.0
49,51,0.0180,3.062465e+00,1.0
49,53,0.0320,4.283682e-01,1.0
49,55,0.0430,1.402527e-01,1.0
49,57,0.0520,6.469708e-02,1.0
49,59,0.0590,3.589794e-02,1.0
49,61,0.0650,2.234240e-02,1.0
49,63,0.0700,1.503281e-02,1.0
49,65,0.0740,1.069887e-02,1.0
50,52,0.0140,3.307573e+00,1.0
50,54,0.0250,4.590643e-01,1.0
50,56,0.0340,1.493889e-01,1.0
50,58,0.0410,6.858124e-02,1.0
50,60,0.0470,3.790899e-02,1.0
50,62,0.0520,2.352337e-02,1.0
50,64,0.0560,1.578996e-02,1.0
51,53,0.0140,3.307573e+00,1.0
51,55,0.0250,4.590643e-01,1.0
51,57,0.0340,1.493889e-01,1.0
51,59,0.0410,6.858124e-02,1.0
51,61,0.0470,3.790899e-02,1.0
51,63,0.0520,2.352337e-02,1.0
51,65,0.0560,1.578996e-02,1.0
52,54,0.0110,3.552666e+00,1.0
52,56,0.0200,4.897464e-01,1.0
52,58,0.0270,1.585126e-01,1.0
52,60,0.0330,7.245437e-02,1.0
52,62,0.0380,3.991021e-02,1.0
52,64,0.0420,2.469555e-02,1.0
53,55,0.0110,3.552666e+00,1.0
53,57,0.0200,4.897464e-01,1.0
53,59,0.0270,1.585126e-01,1.0
53,61,0.0330,7.245437e-02,1.0
53,63,0.0380,3.991021e-02,1.0
53,65,0.0420,2.469555e-02,1.0
54,56,0.0090,3.797747e+00,1.0
54,58,0.0160,5.204182e-01,1.0
54,60,0.0220,1.676271e-01,1.0
54,62,0.0270,7.631921e-02,1.0
