lower_n,upper_n,excitation_energy,alpha
21,42,0.7490,5.642000e+00
21,46,0.8250,2.907660e+01
22,24,0.1220,4.169000e+02
22,26,0.2410,3.749000e+00
22,28,0.3100,4.586000e+04
22,30,0.3780,7.935000e+00
22,32,0.4370,6.993000e-01
22,34,0.4770,7.634000e+02
22,36,0.5170,1.827000e+00
22,38,0.5530,2.741000e-01
22,40,0.5760,5.726000e+03
22,44,0.6860,2.408000e-01
22,46,0.7180,1.161000e-01
23,25,0.1220,4.137000e+02
23,27,0.2470,3.702000e+00
23,29,0.3090,4.682000e+04
23,31,0.3760,7.922000e+00
23,33,0.4410,6.962000e-01
23,35,0.4760,7.789000e+02
23,37,0.5170,1.824000e+00
23,39,0.5540,2.746000e-01
23,41,0.5760,5.827000e+03
23,45,0.6860,7.248000e-01
23,47,0.7180,1.136000e-01
24,28,0.1880,3.107000e+03
24,30,0.2560,1.042000e+05
24,34,0.3550,1.815000e+01
24,36,0.3950,1.460000e+04
24,40,0.4540,2.122000e+01
24,44,0.5640,1.334000e+03
25,29,0.1870,3.124000e+03
25,31,0.2540,1.041000e+05
25,35,0.3540,1.859000e+01
25,37,0.3950,1.449000e+04
25,41,0.4540,2.145000e+01
25,45,0.5640,5.063000e+03
26,28,0.0690,9.810000e+03
26,32,0.1960,3.221522e+04
26,34,0.2360,7.291000e+02
26,38,0.3120,3.653443e+03
26,40,0.3350,1.895000e+01
26,42,0.4010,6.419000e+01
26,46,0.4770,2.607280e+02
27,29,0.0620,1.017000e+04
27,33,0.1940,2.943835e+04
27,35,0.2290,7.426000e+02
27,39,0.3070,3.380273e+03
27,41,0.3290,1.870000e+01
27,43,0.3950,7.729000e+02
27,47,0.4710,2.461230e+02
28,30,0.0680,3.270000e+03
28,32,0.1270,2.579000e+01
28,34,0.1670,3.307000e+03
28,36,0.2070,5.990000e+01
28,38,0.2430,4.261000e+00
28,40,0.2660,3.514000e+02
28,44,0.3760,4.051000e+00
28,46,0.4080,1.767000e+00
29,31,0.0670,3.239000e+03
29,33,0.1320,2.588000e+01
29,35,0.1670,3.324000e+03
29,37,0.2080,5.961000e+01
29,39,0.2450,4.201000e+00
29,41,0.2670,3.519000e+02
29,45,0.3770,1.264000e+01
29,47,0.4090,1.738000e+00
30,34,0.0990,1.074000e+04
30,36,0.1390,5.813000e+05
30,40,0.1980,1.087000e+02
30,44,0.3080,1.854000e+04
31,35,0.1000,1.081000e+04
31,37,0.1410,5.761000e+05
31,41,0.2000,1.097000e+02
31,45,0.3100,7.101000e+04
32,34,0.0400,5.601000e+04
32,38,0.1160,1.369424e+05
32,40,0.1390,1.960000e+03
32,42,0.2050,7.943000e+02
32,46,0.2810,2.883249e+03
33,35,0.0350,5.562000e+04
33,39,0.1130,1.255351e+05
