obs_wl_vac(nm),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""1409.7493""","=""4.3e+06""","=""3.8e-01""",D,"=""13.27303810""","=""14.1525151""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",1,3,,
"=""1505.061""","=""5.2e+06""","=""5.3e-01""",D,"=""13.47988682""","=""14.3036684""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",1,3,,
"=""1517.684""","=""1.3e+06""","=""1.3e-01""",D,"=""13.27303810""","=""14.0899685""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",1,3,,
"=""1533.353""","=""1.2e+05""","=""4.2e-03""",E,"=""13.09487256""","=""13.9034546""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",5,5,,
"=""1599.386""","=""1.9e+06""","=""2.2e-01""",D,"=""13.47988682""","=""14.2550856""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",1,3,,
"=""1652.437""","=""2.6e+05""","=""1.8e-02""",D,"=""13.15314387""","=""13.9034546""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",3,5,,
"=""1694.521""","=""2.5e+06""","=""1.1e-01""",D,"=""13.17177770""","=""13.9034546""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",5,5,,
"=""2062.186""","=""3.9e+05""","=""2.5e-02""",D,"=""13.30222747""","=""13.9034546""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",5,5,,
"=""2313.951""","=""1.7e+05""","=""1.4e-02""",D,"=""13.32785705""","=""13.8636686""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",3,3,,
"=""2397.306""","=""3.6e+05""","=""1.0e-02""",D,"=""13.32785705""","=""13.8450385""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""",3,1,,
